question	output	answer
What television shows's distributor is Eurovision?	Eurovision Song Contest, Junior Eurovision Song Contest, Eurovision Young Dancers, Jeux Sans Frontières, Stadlshow, Eurovision Dance Contest, Eurovision Young Musicians, Musikantenstadl	The television shows for which Eurovision works as distributor are Eurovision Song Contest, Junior Eurovision Song Contest, Eurovision Young Dancers, Jeux Sans Frontières, Stadlshow, Eurovision Dance Contest, Eurovision Young Musicians, Musikantenstadl.
Where do employees of Deroit Red Wings live?	Detroit, Michigan, United States	The places of residence of the people employed by Detroit Red Wings are Detroit, Michigan, United States.
In which cities can i find drinks similar to the IBC root beer?	Jasper, Indiana, Indiana	The cities with drinks related to the IBC Root Beer are Jasper, Indiana, Indiana.
What is the almamater of the successor of F. A. Little, Jr.?	Tulane University Law School, Tulane University	The alma maters of the successor of F. A. Little, Jr. are Tulane University Law School, Tulane University.
How many local authorities manage mixed gender schools?	1207	There are 1207 local authorities of the schools with mixed gender.
Where was Liliya Lobanova born?	Ukraine, Luhansk	The birthplace of Liliya Lobanova is Ukraine, Luhansk.
Is Brazilian jiu-jitsu the trainer of Nick Diaz?	Yes	Yes, Brazilian jiu-jitsu is the trainer of Nick Diaz.
Who has been the tenant of the stadium built by PCL construction firm?	answer	The tenants of the stadium built by PCL construction are answer.
How many producers have worked for FremantleMedia productions?	12	There are 12 producers who worked for FremantleMedia.
How many nations' volleyball players have played for the Russian women volleyball team?	5	There are 5 countries where players who play for the Russia women's national volleyball team were born.
List all areas served by the radio station serving South carolina ?	South Carolina, Spartanburg, South Carolina, Greenville, South Carolina, Gaffney, South Carolina, North Carolina, Virginia	The areas served by radio stations that are serving South Carolina are South Carolina, Spartanburg, South Carolina, Greenville, South Carolina, Gaffney, South Carolina, North Carolina, Virginia.
Which television show's developer is Brian Graden and voices to the character is by Isaac Hayes?	South Park	South Park is the television show whose developer is Brian Graden and character voices is by Isaac Hayes.
How many factions have fought when Egushawa was a commander?	9	There are 9 combatants of the military conflicts commanded by Egushawa.
To which series does the book belong which came after the Blade Runner 2?	Blade Runner	The series of the book whose previous work is Blade Runner 2: The Edge of Human is Blade Runner.
Is the Kia Sportage similar to the Hyundai Lavita?	Yes	Yes, Kia Sportage is related to Hyundai Lavita.
List the other members of the team where Jason Hayne currently plays?	answer	The names of the sports team members whose current member is Jason Hayne are answer.
Where was David Scherman trained?	Dartmouth College	David Scherman was trained in Dartmouth College.
Who created the Women in the Garden and also the L'Enfant a la tasse?	Claude Monet	Claude Monet is the common artist of the Women in the Garden and the L'Enfant a la tasse.
Where did the spouse of pmare ii die?	Papeete, Tahiti	The death location of the spouse of Pmare II are Papeete, Tahiti.
What is the location town of Seattle Great Wheel ?	Seattle	Seattle is the location town of Seattle Great Wheel .
What are some wars fought when Chung Il Kwon as the country's prime minister?	Vietnam War, Korean DMZ Conflict (1966–69), Blue House Raid, 209th Detachment, 2325th Group Unit 684 Mutiny 1	The military conflicts whose commander served under prime minister Chung Il-kwon are Vietnam War, Korean DMZ Conflict (1966–69), Blue House Raid, 209th Detachment, 2325th Group Unit 684 Mutiny 1.
How many bands have members currently playing the Fender Stratocaster?	132	There are 132 bands whose current members use Fender Stratocaster.
Was the 2d Command and Control Squadron barracked in Colorado?	Yes	Yes, Colorado is the garrison of the 2d Command and Control Squadron.
Whose network's parent organisation is Comcast?	answer	The television shows whose network's parent organisation is Comcast are answer.
Who owns Torrey Pines Gliderport?	San Diego	The owner of Torrey Pines Gliderport is San Diego.
What musicians are signed up with colpix records?	Davy Jones (musician), Nina Simone, Jane Morgan, Stu Phillips (composer), Ronnie Spector, Johnny Loves Me	The musical artists with Colpix records label are Davy Jones (musician), Nina Simone, Jane Morgan, Stu Phillips (composer), Ronnie Spector, Johnny Loves Me.
Did Tupac write the lyrics of Holler If Ya Hear Me?	Yes	Yes, Tupac wrote the lyrics of Holler If Ya Hear Me.
Name the home town of Cline Buckens ?	England, London	The home town of Cline Buckens is England, London.
Is my truly truly fair from the band of mitch miller?	Yes	Yes, Mitch Miller is the musical band of My Truly Truly Fair.
Who is married to Gerard Pique?	Shakira	The partner of Gerard Pique is Shakira.
Is Maria Sharapova the silver medalist of Tennis at the 2012 Summer Olympics  Women's singles?	Yes	Yes, Maria Sharapova the silver medalist of Tennis at the 2012 Summer Olympics  Women's singles.
Name the sea into which Danish Straits flows and has Kaliningrad as one of the city on the shore ?	Baltic Sea	The sea into which Danish Straits flows and has Kaliningrad as one of the city on the shore is Baltic Sea.
Where the children of Ashot Grashi employed at?	Chess, Karen Grigorian  1	The jobs of the person whose parent is Ashot Grashi are Chess, Karen Grigorian  1.
Which is the common nation of Louisa Hill and American Football Wellington from?	New Zealand	The nation of both Louisa Hill and the American Football Wellington is New Zealand.
List out the people who are related to the relatives of Jared Kushner?	Frederick Trump, Maryanne Trump Barry, Jared Kushner, Eric Trump, Donald Trump, Donald Trump, Jr., Ivanka Trump	The related people to the relatives of Jared Kushner are Frederick Trump, Maryanne Trump Barry, Jared Kushner, Eric Trump, Donald Trump, Donald Trump, Jr., Ivanka Trump.
What is the birth location of the advisor of Richard Hofstadter ?	Nebraska, Papillion, Nebraska	The birth location of the philosopher who is the advisor of Richard Hofstadter are Nebraska, Papillion, Nebraska.
Do the asiana airlines fly to Jeju airport?	Yes	Yes, Jeju International Airport is a destination of Asiana Airlines.
Acer nigrum is used in making what?	Maple syrup	Maple syrup has Acer nigrum as an ingridient.
What is the combatant of the Northwest Indian War and also the ethnic group of the Linda Hogan?	Chickasaw	The combatant of the Northwest Indian War and ethnicity of Linda Hogan is Chickasaw.
What is the city of the Maine School of Science and Mathematics is also the resting place of Charles A. Boutelle?	Maine	Maine is the authority of the Maine School of Science and Mathematics and resting place of Charles A. Boutelle.
Which band was Roger waters in?	Pink Floyd	The band with former member Roger Waters is Pink Floyd.
Grey goose and eristoff is produced by which company?	Bacardi	Bacardi is the maker of both Grey Goose and Eristoff.
Was tupac a member of Outlawz?	Yes	Yes, Tupac Shakur is one of the past members of Outlawz.
Who won the general elections in India in 2009, and had also won the AP elections in 2004 ?	Indian National Congress	The common affiliation of the Indian general election 2004 and Indian general election 2009 is Indian National Congress.
Is Tea the main ingredient of Lahpet?	Yes	Yes, tea is the main ingredient of Lahpet.
How many movies have a screenplay located in the States?	846	There are 846 movies with screenwriters born in the United States.
Name the office holder whose alma mater is Harvard-Westlake School and resting place is Alta Mesa Memorial Park?	Shirley Temple	Shirley Temple is the office holder whose alma mater is Harvard-Westlake School and resting place is Alta Mesa Memorial Park.
Which football teams are in a city where Oakland Athletics were the tenants?	Oakland Raiders	The american football team whose location city's tenant is Oakland Athletics is Oakland Raiders.
Which movies' composers have won a BAFTA for film music?	answer	The films whose music composer have been awarded with the BAFTA Award for Best Film Music are answer.
Who developed games based on the Cars series?	PlayStation 2, Rainbow Studios, PlayStation 3, Xbox 360, Tantalus Media	The developers of the video games based on Cars (film) series are PlayStation 2, Rainbow Studios, PlayStation 3, Xbox 360, Tantalus Media.
Count the number of shows whose creators are Jerry Seinfeld and Larry David?	8	There are 8 television shows whose creators are Jerry Seinfeld and Larry David.
In how many different places have US people died?	6851	There are 6851 death places of the people born in United States.
List the actors of Lucy Sullivan Is Getting Married?	Gerard Butler, Sam Loggin, Gwyneth Strong, Michael Troughton, Letitia Dean, Debbie Chazen, Zoë Eeles, Sara Stockbridge	The actors of Lucy Sullivan Is Getting Married are Gerard Butler, Sam Loggin, Gwyneth Strong, Michael Troughton, Letitia Dean, Debbie Chazen, Zoë Eeles, Sara Stockbridge.
Was Lucrezia Tornabuoni the mother of Lorenzo de' Medici?	Yes	Yes, Lucrezia Tornabuoni is the mother of Lorenzo de' Medici.
Which education institute of Duncan U. Fletcher is also the university of Vanderbilt Commodores?	Vanderbilt University	Vanderbilt University is the university of both Duncan U. Fletcher and Vanderbilt Commodores.
Is william doyle the chairman of Georgetown university?	Yes	Yes, William Doyle is the chairman of Georgetown University.
How many other important work has been done by the writers of Sarah Jane Adventures?	9	There are 9 notable works of the writers whose one work is The Sarah Jane Adventures.
